Store,Month,Year,Holiday_Flag,Weekly_Sales,CPI,Unemployment
1,2,2010,0,1643690.9,211.0963582,8.106
1,2,2010,1,1641957.44,211.2421698,8.106
1,2,2010,0,1611968.17,211.2891429,8.106
1,2,2010,0,1409727.59,211.3196429,8.106
1,3,2010,0,1554806.68,211.3501429,8.106
1,3,2010,0,1439541.59,211.3806429,8.106
1,3,2010,0,1472515.79,211.215635,8.106
1,3,2010,0,1404429.92,211.0180424,8.106
1,4,2010,0,1594968.28,210.8204499,7.808
1,4,2010,0,1545418.53,210.6228574,7.808
1,4,2010,0,1466058.28,210.4887,7.808
1,4,2010,0,1391256.12,210.4391228,7.808
1,4,2010,0,1425100.71,210.3895456,7.808
1,5,2010,0,1603955.12,210.3399684,7.808
1,5,2010,0,1494251.5,210.3374261,7.808
1,5,2010,0,1399662.07,210.6170934,7.808
1,5,2010,0,1432069.95,210.8967606,7.808
1,6,2010,0,1615524.71,211.1764278,7.808
1,6,2010,0,1542561.09,211.4560951,7.808
1,6,2010,0,1503284.06,211.4537719,7.808
1,6,2010,0,1422711.6,211.3386526,7.808
1,7,2010,0,1492418.14,211.2235333,7.787
1,7,2010,0,1546074.18,211.108414,7.787
1,7,2010,0,1448938.92,211.1003854,7.787
1,7,2010,0,1385065.2,211.2351443,7.787
1,7,2010,0,1371986.6,211.3699032,7.787
1,8,2010,0,1605491.78,211.5046621,7.787
1,8,2010,0,1508237.76,211.6394211,7.787
1,8,2010,0,1513080.49,211.6033633,7.787
1,8,2010,0,1449142.92,211.5673056,7.787
1,9,2010,0,1540163.53,211.5312479,7.787
1,9,2010,1,1507460.69,211.4951902,7.787
1,9,2010,0,1430378.67,211.5224596,7.787
1,9,2010,0,1351791.03,211.5972246,7.787
1,10,2010,0,1453329.5,211.6719895,7.838
1,10,2010,0,1508239.93,211.7467544,7.838
1,10,2010,0,1459409.1,211.8137436,7.838
1,10,2010,0,1345454.0,211.8612937,7.838
1,10,2010,0,1384209.22,211.9088438,7.838
1,11,2010,0,1551659.28,211.9563939,7.838
1,11,2010,0,1494479.49,212.003944,7.838
1,11,2010,0,1483784.18,211.8896737,7.838
1,11,2010,1,1955624.11,211.7484333,7.838
1,12,2010,0,1548033.78,211.607193,7.838
1,12,2010,0,1682614.26,211.4659526,7.838
1,12,2010,0,1891034.93,211.4053124,7.838
1,12,2010,0,2387950.2,211.4051222,7.838
1,12,2010,1,1367320.01,211.4049321,7.838
1,1,2011,0,1444732.28,211.4047419,7.742
1,1,2011,0,1391013.96,211.4574109,7.742
1,1,2011,0,1327405.42,211.8272343,7.742
1,1,2011,0,1316899.31,212.1970577,7.742
1,2,2011,0,1606629.58,212.5668812,7.742
1,2,2011,1,1649614.93,212.9367046,7.742
1,2,2011,0,1686842.78,213.2478853,7.742
1,2,2011,0,1456800.28,213.535609,7.742
1,3,2011,0,1636263.41,213.8233327,7.742
1,3,2011,0,1553191.63,214.1110564,7.742
1,3,2011,0,1576818.06,214.3627114,7.742
1,3,2011,0,1541102.38,214.5999389,7.742
1,4,2011,0,1495064.75,214.8371664,7.682
1,4,2011,0,1614259.35,215.0743939,7.682
1,4,2011,0,1559889.0,215.2918561,7.682
1,4,2011,0,1564819.81,215.4599053,7.682
1,4,2011,0,1455090.69,215.6279544,7.682
1,5,2011,0,1629391.28,215.7960035,7.682
1,5,2011,0,1604775.58,215.9640526,7.682
1,5,2011,0,1428218.27,215.7339202,7.682
1,5,2011,0,1466046.67,215.5037878,7.682
1,6,2011,0,1635078.41,215.2736553,7.682
1,6,2011,0,1588948.32,215.0435229,7.682
1,6,2011,0,1532114.86,214.9980596,7.682
1,6,2011,0,1438830.15,215.0910982,7.682
1,7,2011,0,1488538.09,215.1841368,7.962
1,7,2011,0,1534849.64,215.2771754,7.962
1,7,2011,0,1455119.97,215.3611087,7.962
1,7,2011,0,1396926.82,215.4222784,7.962
1,7,2011,0,1352219.79,215.4834482,7.962
1,8,2011,0,1624383.75,215.544618,7.962
1,8,2011,0,1525147.09,215.6057878,7.962
1,8,2011,0,1530761.43,215.6693107,7.962
1,8,2011,0,1464693.46,215.7332258,7.962
1,9,2011,0,1550229.22,215.7971409,7.962
1,9,2011,1,1540471.24,215.861056,7.962
1,9,2011,0,1514259.78,216.0410526,7.962
1,9,2011,0,1380020.27,216.3758246,7.962
1,9,2011,0,1394561.83,216.7105965,7.962
1,10,2011,0,1630989.95,217.0453684,7.866
1,10,2011,0,1493525.93,217.3552733,7.866
1,10,2011,0,1502562.78,217.5159762,7.866
1,10,2011,0,1445249.09,217.6766791,7.866
1,11,2011,0,1697229.58,217.837382,7.866
1,11,2011,0,1594938.89,217.9980849,7.866
1,11,2011,0,1539483.7,218.2205088,7.866
1,11,2011,1,2033320.66,218.4676211,7.866
1,12,2011,0,1584083.95,218.7147333,7.866
1,12,2011,0,1799682.38,218.9618456,7.866
1,12,2011,0,1881176.67,219.1794533,7.866
1,12,2011,0,2270188.99,219.3577216,7.866
1,12,2011,1,1497462.72,219.5359898,7.866
1,1,2012,0,1550369.92,219.7142581,7.348
1,1,2012,0,1459601.17,219.8925263,7.348
1,1,2012,0,1394393.84,219.9856893,7.348
1,1,2012,0,1319325.59,220.0788523,7.348
1,2,2012,0,1636339.65,220.1720153,7.348
1,2,2012,1,1802477.43,220.2651783,7.348
1,2,2012,0,1819870.0,220.4257586,7.348
1,2,2012,0,1539387.83,220.636902,7.348
1,3,2012,0,1688420.76,220.8480454,7.348
1,3,2012,0,1675431.16,221.0591887,7.348
1,3,2012,0,1677472.78,221.2118132,7.348
1,3,2012,0,1511068.07,221.2864126,7.348
1,3,2012,0,1649604.63,221.3610119,7.348
1,4,2012,0,1899676.88,221.4356112,7.143
1,4,2012,0,1621031.7,221.5102105,7.143
1,4,2012,0,1521577.87,221.5640737,7.143
1,4,2012,0,1468928.37,221.6179368,7.143
